additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,short_name,character,unicodes
weather,weather,181,1001B8,FALSE,,,,,,sun.haze.fill,􀆸,XXXXX
weather,weather,182,1001B9,FALSE,,,do.not.disturb,,,moon,􀆹,XXXXX
weather,weather,183,1001BA,FALSE,,,do.not.disturb.fill,,,moon.fill,􀆺,263E
,objects & tools,183,1009DE,FALSE,,,,,,calendar.badge.clock,􀧞,XXXXX
weather,weather,184,1001BB,FALSE,,,do.not.disturb.circle,,,moon.circle,􀆻,XXXXX
weather,weather,185,1001BC,FALSE,,,do.not.disturb.circle.fill,,,moon.circle.fill,􀆼,XXXXX
,,185,100B9D,FALSE,,,,,,calendar.badge.exclamationmark,􀮝,XXXXX
weather,weather,186,100583,FALSE,,,,,,zzz,􀖃,NO
weather,weather,187,1001BD,FALSE,,,snooze.zzz,,,moon.zzz,􀆽,XXXXX
weather,weather,188,1001BE,FALSE,,,snooze.zzz.fill,,,moon.zzz.fill,􀆾,XXXXX
weather,weather,189,1001BF,FALSE,,,sparkle,,,sparkles,􀆿,XXXXX
weather,weather,190,1001C0,FALSE,,,clear.night,,,moon.stars,􀇀,XXXXX
weather,weather,191,1001C1,FALSE,,,clear.night.fill,,,moon.stars.fill,􀇁,XXXXX
weather,weather,192,1001C2,FALSE,,,mostly.cloudy,,,cloud,􀇂,XXXXX
weather,weather,193,1001C3,FALSE,,,mostly.cloudy.fill,,,cloud.fill,􀇃,XXXXX
weather,weather,194,1001C4,FALSE,,,drizzle,,,cloud.drizzle,􀇄,XXXXX
weather,weather,195,1001C5,FALSE,,,drizzle.fill,,,cloud.drizzle.fill,􀇅,XXXXX
weather,weather,196,1001C6,FALSE,,,rain,,,cloud.rain,􀇆,XXXXX
,arrows,196,100256,FALSE,,,reply.all,,,arrowshape.turn.up.left.2.circle,􀉖,XXXXX
weather,weather,197,1001C7,FALSE,,,rain.fill,,,cloud.rain.fill,􀇇,XXXXX
,arrows,197,100257,FALSE,,,reply.all.fill,,,arrowshape.turn.up.left.2.circle.fill,􀉗,XXXXX
weather,weather,198,1001C8,FALSE,,,heavy.rain,,,cloud.heavyrain,􀇈,XXXXX
mail,arrows,198,100258,FALSE,,,redirect,,,arrowshape.zigzag.right,􀉘,XXXXX
weather,weather,199,1001C9,FALSE,,,heavy.rain.fill,,,cloud.heavyrain.fill,􀇉,XXXXX
mail,arrows,199,100490,FALSE,,,redirect.fill,,,arrowshape.zigzag.right.fill,􀒐,XXXXX
weather,weather,200,1001CA,FALSE,,,fog,,,cloud.fog,􀇊,XXXXX
mail,arrows,200,100259,FALSE,,,bounce,,,arrowshape.bounce.right,􀉙,XXXXX
weather,weather,201,1001CB,FALSE,,,fog.fill,,,cloud.fog.fill,􀇋,XXXXX
mail,arrows,201,100491,FALSE,,,bounce.fill,,,arrowshape.bounce.right.fill,􀒑,XXXXX
weather,weather,202,1001CC,FALSE,,,hail,,,cloud.hail,􀇌,XXXXX
weather,weather,203,1001CD,FALSE,,,hail.fill,,,cloud.hail.fill,􀇍,XXXXX
weather,weather,204,1001CE,FALSE,,,blizzard,,,cloud.snow,􀇎,XXXXX
weather,weather,205,1001CF,FALSE,,,blizzard.fill,,,cloud.snow.fill,􀇏,XXXXX
weather,weather,206,1001D0,FALSE,,,sleet,,,cloud.sleet,􀇐,XXXXX
weather,weather,207,1001D1,FALSE,,,sleet.fill,,,cloud.sleet.fill,􀇑,XXXXX
weather,weather,208,1001D2,FALSE,,,severe.thunderstorm,,,cloud.bolt,􀇒,XXXXX
,objects & tools,208,100926,FALSE,,,,,,newspaper,􀤦,XXXXX
weather,weather,209,1001D3,FALSE,,,severe.thunderstorm.fill,,,cloud.bolt.fill,􀇓,XXXXX
,objects & tools,209,100945,FALSE,,,,,,newspaper.fill,􀥅,XXXXX
weather,weather,210,1001D4,FALSE,,,partly.cloudy,,,cloud.sun,􀇔,XXXXX
